scene_id,episode,character
Tourist Trapped_scene1,Tourist Trapped,Dipper Pines
Tourist Trapped_scene2,Tourist Trapped,Hank
Tourist Trapped_scene2,Tourist Trapped,Hank's wife
Tourist Trapped_scene2,Tourist Trapped,Dipper
Tourist Trapped_scene3,Tourist Trapped,Dipper
Tourist Trapped_scene4,Tourist Trapped,Mabel Pines
Tourist Trapped_scene5,Tourist Trapped,Dipper
Tourist Trapped_scene6,Tourist Trapped,Mabel
Tourist Trapped_scene7,Tourist Trapped,Dipper
Tourist Trapped_scene8,Tourist Trapped,Dipper
Tourist Trapped_scene9,Tourist Trapped,Dipper
Tourist Trapped_scene10,Tourist Trapped,Mabel
Tourist Trapped_scene10,Tourist Trapped,Dipper
Tourist Trapped_scene11,Tourist Trapped,Mabel
Tourist Trapped_scene12,Tourist Trapped,Dipper
Tourist Trapped_scene12,Tourist Trapped,Stan Pines
Tourist Trapped_scene12,Tourist Trapped,Stan
Tourist Trapped_scene13,Tourist Trapped,Dipper
Tourist Trapped_scene14,Tourist Trapped,Stan
Tourist Trapped_scene15,Tourist Trapped,Dipper
Tourist Trapped_scene15,Tourist Trapped,Mabel
Tourist Trapped_scene15,Tourist Trapped,Stan
Tourist Trapped_scene16,Tourist Trapped,Dipper
Tourist Trapped_scene17,Tourist Trapped,Mabel
Tourist Trapped_scene18,Tourist Trapped,Boy
Tourist Trapped_scene18,Tourist Trapped,Mabel
Tourist Trapped_scene18,Tourist Trapped,Dipper
Tourist Trapped_scene19,Tourist Trapped,Mabel
Tourist Trapped_scene20,Tourist Trapped,Mabel
Tourist Trapped_scene21,Tourist Trapped,Mattress King
Tourist Trapped_scene21,Tourist Trapped,Mabel
Tourist Trapped_scene22,Tourist Trapped,Mabel
Tourist Trapped_scene22,Tourist Trapped,Stan
Tourist Trapped_scene22,Tourist Trapped,Dipper
Tourist Trapped_scene22,Tourist Trapped,Soos
Tourist Trapped_scene22,Tourist Trapped,Wendy
Tourist Trapped_scene23,Tourist Trapped,Stan
Tourist Trapped_scene24,Tourist Trapped,Dipper
Tourist Trapped_scene25,Tourist Trapped,Dipper
Tourist Trapped_scene25,Tourist Trapped,Mabel
Tourist Trapped_scene25,Tourist Trapped,Gompers
Tourist Trapped_scene26,Tourist Trapped,Dipper
Tourist Trapped_scene26,Tourist Trapped,Mabel
Tourist Trapped_scene26,Tourist Trapped,Stan
Tourist Trapped_scene27,Tourist Trapped,Norman
Tourist Trapped_scene27,Tourist Trapped,Dipper
Tourist Trapped_scene27,Tourist Trapped,Stan
Tourist Trapped_scene27,Tourist Trapped,Mabel
Tourist Trapped_scene28,Tourist Trapped,Dipper
Tourist Trapped_scene29,Tourist Trapped,Norman
Tourist Trapped_scene29,Tourist Trapped,Dipper
Tourist Trapped_scene30,Tourist Trapped,Stan
Tourist Trapped_scene31,Tourist Trapped,Mabel
Tourist Trapped_scene31,Tourist Trapped,Dipper
Tourist Trapped_scene31,Tourist Trapped,Norman
Tourist Trapped_scene31,Tourist Trapped,Soos
Tourist Trapped_scene32,Tourist Trapped,Soos
Tourist Trapped_scene32,Tourist Trapped,Dipper
Tourist Trapped_scene32,Tourist Trapped,Stan
Tourist Trapped_scene33,Tourist Trapped,Mabel
Tourist Trapped_scene33,Tourist Trapped,Dipper
Tourist Trapped_scene34,Tourist Trapped,Norman
Tourist Trapped_scene34,Tourist Trapped,Dipper
Tourist Trapped_scene35,Tourist Trapped,Norman
Tourist Trapped_scene35,Tourist Trapped,Mabel and Norman
Tourist Trapped_scene35,Tourist Trapped,Dipper
Tourist Trapped_scene36,Tourist Trapped,Dipper
Tourist Trapped_scene36,Tourist Trapped,Mabel
Tourist Trapped_scene37,Tourist Trapped,Mabel
Tourist Trapped_scene38,Tourist Trapped,Mabel
Tourist Trapped_scene38,Tourist Trapped,Dipper
Tourist Trapped_scene39,Tourist Trapped,Mabel
Tourist Trapped_scene39,Tourist Trapped,Norman
Tourist Trapped_scene39,Tourist Trapped,Dipper
Tourist Trapped_scene39,Tourist Trapped,Stan
Tourist Trapped_scene39,Tourist Trapped,Unnamed hillbilly
Tourist Trapped_scene39,Tourist Trapped,Fat Tourist
Tourist Trapped_scene40,Tourist Trapped,Mabel
Tourist Trapped_scene40,Tourist Trapped,Norman
Tourist Trapped_scene41,Tourist Trapped,Dipper
Tourist Trapped_scene41,Tourist Trapped,Wendy
Tourist Trapped_scene41,Tourist Trapped,Soos
Tourist Trapped_scene42,Tourist Trapped,Norman
Tourist Trapped_scene42,Tourist Trapped,Mabel
Tourist Trapped_scene42,Tourist Trapped,Jeff
Tourist Trapped_scene42,Tourist Trapped,Shmebulock
Tourist Trapped_scene42,Tourist Trapped,Gnomes except Jeff
Tourist Trapped_scene43,Tourist Trapped,Dipper
Tourist Trapped_scene43,Tourist Trapped,Mabel
Tourist Trapped_scene44,Tourist Trapped,Jeff
Tourist Trapped_scene44,Tourist Trapped,Mabel
Tourist Trapped_scene44,Tourist Trapped,Steve
Tourist Trapped_scene44,Tourist Trapped,Dipper
Tourist Trapped_scene44,Tourist Trapped,Gnome
Tourist Trapped_scene45,Tourist Trapped,Mabel
Tourist Trapped_scene45,Tourist Trapped,Dipper
Tourist Trapped_scene45,Tourist Trapped,Jeff
Tourist Trapped_scene45,Tourist Trapped,Gnomes
Tourist Trapped_scene45,Tourist Trapped,Gnome Giant
Tourist Trapped_scene45,Tourist Trapped,Gnome
Tourist Trapped_scene46,Tourist Trapped,Shmebulock
Tourist Trapped_scene46,Tourist Trapped,Gnome
Tourist Trapped_scene46,Tourist Trapped,Mabel
Tourist Trapped_scene46,Tourist Trapped,Dipper
Tourist Trapped_scene46,Tourist Trapped,Gnome Giant
Tourist Trapped_scene46,Tourist Trapped,Dipper and Mabel
Tourist Trapped_scene47,Tourist Trapped,Dipper and Mabel
Tourist Trapped_scene47,Tourist Trapped,Gnomes
Tourist Trapped_scene47,Tourist Trapped,Dipper
Tourist Trapped_scene48,Tourist Trapped,Stan
Tourist Trapped_scene48,Tourist Trapped,Tourists
Tourist Trapped_scene48,Tourist Trapped,Jeff
Tourist Trapped_scene48,Tourist Trapped,Dipper
Tourist Trapped_scene48,Tourist Trapped,Mabel
Tourist Trapped_scene49,Tourist Trapped,Jeff
Tourist Trapped_scene49,Tourist Trapped,Mabel
Tourist Trapped_scene49,Tourist Trapped,Dipper
Tourist Trapped_scene49,Tourist Trapped,Dipper & Mabel
Tourist Trapped_scene49,Tourist Trapped,Gnome Giant
Tourist Trapped_scene49,Tourist Trapped,Gnome
Tourist Trapped_scene49,Tourist Trapped,Gnome 2
Tourist Trapped_scene49,Tourist Trapped,Gnomes
Tourist Trapped_scene49,Tourist Trapped,Gompers
Tourist Trapped_scene49,Tourist Trapped,Gnome in the six-pack holder
Tourist Trapped_scene50,Tourist Trapped,Stan
Tourist Trapped_scene50,Tourist Trapped,Dipper and Mabel
Tourist Trapped_scene50,Tourist Trapped,Mabel
Tourist Trapped_scene50,Tourist Trapped,Dipper
Tourist Trapped_scene50,Tourist Trapped,Dipper & Mabel
Tourist Trapped_scene51,Tourist Trapped,Dipper
Tourist Trapped_scene51,Tourist Trapped,Mabel
Tourist Trapped_scene51,Tourist Trapped,Dipper and Mabel
The Legend of the Gobblewonker_scene52,The Legend of the Gobblewonker,Mabel Pines
The Legend of the Gobblewonker_scene52,The Legend of the Gobblewonker,Dipper Pines
The Legend of the Gobblewonker_scene52,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene53,The Legend of the Gobblewonker,Dipper & Mabel
The Legend of the Gobblewonker_scene53,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene53,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene53,The Legend of the Gobblewonker,Stan Pines
The Legend of the Gobblewonker_scene53,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene54,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene55,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene55,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene55,The Legend of the Gobblewonker,Dipper & Mabel
The Legend of the Gobblewonker_scene55,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene56,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene56,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene57,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene57,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene58,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene58,The Legend of the Gobblewonker,Dipper and Mabel
The Legend of the Gobblewonker_scene58,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene58,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene59,The Legend of the Gobblewonker,Lazy Susan
The Legend of the Gobblewonker_scene59,The Legend of the Gobblewonker,Toby Determined
The Legend of the Gobblewonker_scene59,The Legend of the Gobblewonker,Marcus
The Legend of the Gobblewonker_scene59,The Legend of the Gobblewonker,Manly Dan
The Legend of the Gobblewonker_scene59,The Legend of the Gobblewonker,"Marcus, Kevin, & Gus"
The Legend of the Gobblewonker_scene59,The Legend of the Gobblewonker,Tyler Cutebiker
The Legend of the Gobblewonker_scene60,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene60,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene60,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene61,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene61,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene61,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene61,The Legend of the Gobblewonker,Old Man McGucket
The Legend of the Gobblewonker_scene61,The Legend of the Gobblewonker,McGucket
The Legend of the Gobblewonker_scene61,The Legend of the Gobblewonker,Tate McGucket
The Legend of the Gobblewonker_scene62,The Legend of the Gobblewonker,McGucket
The Legend of the Gobblewonker_scene62,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene62,The Legend of the Gobblewonker,Sheriff Blubs
The Legend of the Gobblewonker_scene63,The Legend of the Gobblewonker,Tate McGucket
The Legend of the Gobblewonker_scene63,The Legend of the Gobblewonker,McGucket
The Legend of the Gobblewonker_scene63,The Legend of the Gobblewonker,Stan
The Legend of the Gobblewonker_scene63,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene63,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene64,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene64,The Legend of the Gobblewonker,Hamster
The Legend of the Gobblewonker_scene64,The Legend of the Gobblewonker,Xyler and Craz
The Legend of the Gobblewonker_scene65,The Legend of the Gobblewonker,Dipper
The Legend of the Gobblewonker_scene65,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene65,The Legend of the Gobblewonker,Dipper and Mabel
The Legend of the Gobblewonker_scene65,The Legend of the Gobblewonker,McGucket
The Legend of the Gobblewonker_scene66,The Legend of the Gobblewonker,McGucket
The Legend of the Gobblewonker_scene67,The Legend of the Gobblewonker,Soos Ramirez
The Legend of the Gobblewonker_scene67,The Legend of the Gobblewonker,Mabel
The Legend of the Gobblewonker_scene67,The Legend of the Gobblewonker,Soos
The Legend of the Gobblewonker_scene67,The Legend of the Gobblewonker,Stan
