episode,character,line
Tourist Trapped,Narration,The episode opens with a shot of the sun.Dipperstarts to narrate.
Tourist Trapped,Dipper Pines,"(Narrating:)Ah, summer break..."
Tourist Trapped,Narration,The camera pans toHankgrilling burgers whileShmipper and Smabbleare running around and laughing beside him. Others sit at a picnic table.
Tourist Trapped,Hank,"So you want cheese on that,hon?"
Tourist Trapped,Hank's wife,"(Offscreen:)Sure, Hank."
Tourist Trapped,Dipper,"(Narrating:)A time for leisure, recreation, and taking 'er easy..."
Tourist Trapped,Narration,"The camera stops at the ""Welcome toGravity Falls"" sign."
Tourist Trapped,Dipper,...unless you're me.
Tourist Trapped,Narration,"Mabeland Dipper Pines crash through the ""Welcome to Gravity Falls"" sign with theMystery Cart, screaming as they drive down into the woods. They are being chased by a gigantic unknownmonster, which is knocking down tall pine trees."
Tourist Trapped,Mabel Pines,(Looks back)It's getting closer!
Tourist Trapped,Narration,The monster growls and tries to catch the cart but just falls short. The cart flies off a rock and lands roughly.
Tourist Trapped,Dipper,"(Narrating:)My name is Dipper. The girl about to puke is my sister Mabel. You may be wondering what we're doing in a golf cart, fleeing froma creature of unimaginable horror."
Tourist Trapped,Narration,"The monster pulls out a large tree and throws it above Dipper and Mabel, straight in their path."
Tourist Trapped,Mabel,Look out!
Tourist Trapped,Narration,"When screaming, the image freezes with Mabel and Dipper screaming as they drive into the screen."
Tourist Trapped,Dipper,"Rest assured, there's a perfectly logical explanation."
Tourist Trapped,Narration,Cut totheme song. Cut back to Dipper and Mabel in the golf cart.
Tourist Trapped,Dipper,Let's rewind...(Flashback to Dipper and Mabel in their living room at home)It all began when ourparentsdecided we could use some fresh air.
Tourist Trapped,Narration,"Their parents take their stuff away, give them bags and put some sunscreen on their noses. Cut to a map of Oregon. Zoom in to Gravity Falls."
Tourist Trapped,Dipper,"(Narrating:)They shipped us up north to a sleepy town called Gravity Falls, Oregon, to stay at ourgreat-uncle's place in the woods."
Tourist Trapped,Narration,Cut to Mabel in the attic hanging up posters.
Tourist Trapped,Mabel,"This attic is amazing. Check out all my splinters!(Holds up hands, which have gigantic splinters sticking out of them)"
Tourist Trapped,Dipper,"(Backs up into his bed, whichGompersis on; not narrating:)And there's a goat on my bed."
Tourist Trapped,Mabel,"Hey, friend.(Holds out her arm, and Gompers chews on her sleeve)Oh! Yes, you can keep chewing on mysweater.(Laughs)"
Tourist Trapped,Dipper,(Narrating:)My sister tended to look on the bright side of things.
Tourist Trapped,Narration,Cut to Mabel rolling down a hill of grass.
Tourist Trapped,Mabel,Yay! Grass!
Tourist Trapped,Narration,A woodpecker pecks on Dipper's hat.
Tourist Trapped,Dipper,(Narrating:)But I was having a hard time getting used to our new surroundings.
Tourist Trapped,Stan Pines,(Jumps out at him wearing a mask)Boo!
Tourist Trapped,Dipper,(Not narrating:)Ah!(Falls over)
Tourist Trapped,Stan,(Takes his mask off)Ahahahaha! Hahaha!
Tourist Trapped,Dipper,(Narrating:)And then there was our Great Uncle Stan.(As Stan slaps his knee) Thatguy.
Tourist Trapped,Stan,(Coughs several times and hits his chest)It was worth it.
Tourist Trapped,Narration,Cut to Stan leadingtouriststhrough theMystery Shack's museum exhibit.
Tourist Trapped,Dipper,"(Narrating)Our uncle had transformed his house into a tourist trap he called ""The Mystery Shack."" The real mystery was why anyone came."
Tourist Trapped,Narration,TheJackalope'santler breaks off.
Tourist Trapped,Stan,"Ladies and gentlemen, behold; the Sascrotch!"
Tourist Trapped,Narration,"Cut to a Sasquatch wearing underwear. Tourists start speaking excitedly, and snap pictures. Cut to Dipper sweeping the wooden floor with a broom. Mabel is looking at stuff."
Tourist Trapped,Dipper,(Narrating:)And guess who had to work there.(Not narrating; sighs)
Tourist Trapped,Mabel,Ooh!(Reaches for large eyeball)
Tourist Trapped,Stan,(Slaps her hand with his 8-ball cane)No touching the merchandise!
Tourist Trapped,Narration,Cut toSoosdriving the Mystery Cart to the Mystery Shack.
Tourist Trapped,Dipper,"(Narrating:)It looked like it was gonna be the same, boring routine all summer. Until one fateful day..."
Tourist Trapped,Narration,Cut to Mabel peeking through a row of Stan bobbleheads.
Tourist Trapped,Mabel,"He's looking at it, he's looking at it...!"
Tourist Trapped,Narration,Cut to aboylooking at Mabel's note.
Tourist Trapped,Boy,"Uh...(Reading note:)""Do you like me? Yes. Definitely. Absolutely!!!""...?(Looks around)"
Tourist Trapped,Mabel,(Lowers her voice)I rigged it!
Tourist Trapped,Dipper,"(Spraying a jar with water and wiping it; not narrating:)Mabel, I know you're going through your whole ""Boy Crazy"" phase, but I think you're kind of overdoing it with the ""crazy"" part."
Tourist Trapped,Mabel,"What?!(Blows raspberry)Comeon, Dipper! This is our first summer away from home! It's my big chance to have an epic summer romance!"
Tourist Trapped,Dipper,"Yeah, but do you need to flirt witheveryguy you meet?"
Tourist Trapped,Narration,Flashback to Mabel with aboynear a greeting cards display.
Tourist Trapped,Mabel,"My name is Mabel, but you can call me ""The girl of your dreams."" I'M JOKING!(Shoves him into the display)Ha ha ha ha ha!"
Tourist Trapped,Narration,Flashback to aboyholding a turtle on a bench.
Tourist Trapped,Mabel,"(Jumps up behind him)Oh my gosh, you like turtles? I like turtles too! What is happening here?"
Tourist Trapped,Narration,Flashback to the inside of amattress store.
Tourist Trapped,Mattress King,"Come one, come all, to the Mattress Prince's kingdom of savings!"
Tourist Trapped,Mabel,(Hiding behind a set of colorful balloons; pops out head and whispers:)Take me with you...
Tourist Trapped,Mattress King,Aaah!(Cowers away from Mabel and drops scepter)
Tourist Trapped,Narration,Cut back to the present.
Tourist Trapped,Mabel,"Mock all you want, brother, but I got a good feeling about this summer. I wouldn't be surprised if the man of my dreams walked through that door right now."
Tourist Trapped,Stan,"(Walks through the museum door holding arrow signs and aPitt Colacan. He burps, but it gets caught in his throat)Oh! Oh, not good. Ow."
Tourist Trapped,Mabel,Aww! Why?!
Tourist Trapped,Dipper,Ha ha ha!
Tourist Trapped,Stan,"All right, all right, look alive, people. I need someone to go hammer up these signs in the spooky part of theforest."
Tourist Trapped,Dipper,(Quickly:)Not it.
Tourist Trapped,Mabel,(Quickly:)Not it.
Tourist Trapped,Soos,"(Raises his hand while drilling a shelf)Uh, also not it."
Tourist Trapped,Stan,"Nobody asked you, Soos."
Tourist Trapped,Soos,"I know, and I'm comfortable with that.(Eats chocolate bar)"
Tourist Trapped,Stan,"Wendy, I need you to put up this sign!"
Tourist Trapped,Wendy,"(Pretends to reach for signs)I would, but I, ugh, can't, ugh, reach it, ugh..."
Tourist Trapped,Stan,"I'd fire all of you if I could. All right, let's make it... eenie, meenie, miney...(Points at Dipper)you."
Tourist Trapped,Dipper,"Aw, what? Grunkle Stan, whenever I'm in those woods, I feel like I'm being watched."
Tourist Trapped,Stan,"Ugh, this again."
Tourist Trapped,Dipper,"I'm telling you, something weird is going on in this town. Just today, my mosquito bites spelled out BEWARE."
Tourist Trapped,Stan,"(Looks at Dipper's arm)...That says ""BEWARB.""(Dipper looks at his arm and scratches it)Look, kid. The whole ""monsters in the forest"" thing is just local legend, drummed up by guys like me to sell merch to guys like that."
