name,num_lines
Agent,2
Agent Powers,3
Agent Trigger,4
Caryn,1
Caryn Pines,1
Crampelter,1
Daryl Blubs,1
Dipper,40
Dipper Pines,29
Filbrick,1
Filbrick Pines,1
FALSE,0
Ford and Stan,1
Ford Pines,6
Gnome,5
Lead Board Member,1
Ma,2
Mabel,39
Mabel Pines,34
McGucket,14
Narration,39
Pa,2
Powers,4
Principal,1
Soos,36
Soos Ramirez,28
Speaker,2
FALSE,0
Stan and Ford,2
Stan Pines,31
Stanley,1
Susan,1
Toby Determined,14
Trigger,4
Tyler's mother,1
Wendy,30
Wendy Corduroy,23
Woman,10
Blendin's Game,1
FALSE,0
Blendin,3
Blendin Blandin,3
Candy,13
Candy Chiu,10
Cousin,1
Cousin 2,1
Credits,3
Crowd,9
Deep Voice,1
Digi-cod,1
Dipper and Mabel,24
"Dipper, Mabel and Grenda",1
Dundgren,2
Globnar Fan,1
Grenda,14
Grenda Grendinator,11
Kid,4
Laser Tag Announcer,1
Lolph,2
Lolph and Dundgren,1
Loser,1
Mailman,1
Reggie,2
Robbie,12
Robbie Valentino,12
Robot,1
Tambry,5
Time Baby,2
FALSE,0
Winner,1
Boss Mabel,1
Billy,1
Billy's Mom,1
Carla,2
Cash Wheel Audience,1
Cash Wheel Man,1
Clipboard Man,1
"Dipper, Mabel, Soos and Wendy",2
"Dipper, Mabel, Wendy and Soos",2
"Dipper, Soos and Wendy",2
Donna,1
Doug,1
Gremloblin,1
Man,11
Man and Woman,1
Rich,1
Singer,2
Singin' Salmon,1
Soos and Mabel,1
Stan Pines & TV Announcer,1
TV announcer,5
Waddles,12
Wallet Boy,1
Wallet Dad,1
Wallet Man,1
Bottomless Pit!,1
All,9
Bear,1
Beautiful Woman,1
FALSE,0
Deputy Durland,12
"Dipper, Mabel, and Soos",4
Football player,1
Footbot,1
Gompers,4
Mabel and Dipper,3
"Mabel, Dipper and Soos",1
"Mabel, Soos and Wendy",1
"Mabel, Stan, Soos and Wendy",1
"Mabel, Wendy Corduroy, and Soos",1
FALSE,0
Old Man McGucket,17
Pinball Machine,1
Remix,1
Sheriff Blubs,15
"Soos, Dipper & Stan",1
"Soos, Dipper and Mabel",1
Tats,3
Unnamed man,2
FALSE,0
Bratsman,1
Brunette ofPacifica's friends,1
FALSE,0
Creggy G.,1
Creggy Z.,1
Deep Chris,1
Dipper and Stan,1
Ergman Bratsman,1
Greggy C.,2
Grenda and Candy,2
Leggy P.,1
"Mabel, Grenda, & Candy",1
FALSE,0
Recording,3
Redhead of Pacifica's friends,1
Sev'ral Timez,4
Shandra,4
Shandra Jimenez(On TV),1
