name,num_eps
"Baron Num Nums",1
(Singing),1
.GIFfany,33
15-Poundy,4
1990s Teens,1
8 Ball,4
Abuelita,23
Actor,1
Adults,1
Agent,4
Agent 2,2
Agent 3,1
Agent 4,1
Agent 5,1
Agent 6,1
Agent 7,1
Agent Powers,4
Agent Trigger,4
Agents,1
Alien,1
All,21
All but Dipper & Mabel,1
All except Dipper,1
All except McGucket,2
All except Toby,2
All members,1
All three,3
All who are tied up,1
America guy,2
American Dude,1
Animal Heads,2
Announcer,5
Answering machine,1
Aoshima,1
Audience,2
Audience members,1
Baby,3
Ball game carnie,4
Bandana lady,4
Bartender,1
Bear,2
Beardy,1
Beautiful Woman,1
Beaver 1,1
Beaver 2,1
Beaver 3,1
Beavers,1
Bell,1
Bell game carnie,1
Big Beaver,2
Big Henry,3
Biker,4
Bill,163
Bill and his gang,1
Bill Cipher,7
Bill Cipher's gang,1
Bill's gang,3
Billy,1
Billy's Mom,2
Blendin,54
Blendin Blandin,3
Blind Ivan,26
Blubs,63
Blubs and Durland,10
"Blubs, Durland, and Tyler",1
Blue Bird,1
Bobby,1
Bobby Renzobbi,2
Bobby Renzobbi(on TV),1
Boombox,2
Both,4
Both Agents,1
Boy,5
"Boy from ""Tourist Trapped""",1
Bratsman,7
British dog man,1
Brunette ofPacifica's friends,1
Bubble Bear,1
Bud,43
Bud Gleeful,5
Bud Gleefulon TV,1
Buffalo,1
Bus Driver,3
Butler,2
Candy,110
Candy & Grenda,1
Candy and Grenda,9
Candy Chiu,10
Candy Chiu and Grenda,1
"Candy, Grenda and Mabel",1
"Candy, Grenda and Wendy",5
Carla,2
Caryn,3
Caryn Pines,1
Cash Wheel Audience,1
Cash Wheel Man,1
Cashier,1
Cat,1
Celestabellebethabelle,19
"Celestabellebethabelle,Chutzpar,Bats Biker,Woodpecker guy,Candy Chiu,Stan Pines,Grenda Grendinator,Sheriff Blubs,Pacifica Northwest,Old Man McGucketand somegnomes",1
"Celestabellebethabelle,Chutzpar,Bats Biker,Woodpecker guy,Candy,Stan Pines,Grenda,Sheriff Blubs,Pacifica Northwest,Old Man McGucketand someGnomes",1
Cell phoneringtone,1
Cereal Box Toucan,1
Chadley,2
Charlie,3
Charlie's mother,1
Cheekums,1
Chef,2
Child,2
Chubby Z.,14
Chutzpar,27
Cinnamon,1
Civilian,1
Clara,1
Clipboard Man,1
Clone,1
Clones,6
Code,3
Commercial Announcer,2
Computer,6
Constable,5
Cops and kids,1
Corn Maze Girl,4
Corn Maze Worker,1
Count Lionel,1
Cousin,1
Cousin 2,1
Crampelter,2
Craz,24
Creature with 88 different faces,1
Credits,3
Creggy G.,8
Creggy Z.,1
Crowd,19
Cryptogram,1
Cyclops,3
Cycloptopus,1
Dancy Pants,3
Darlene,17
Daryl Blubs,1
Davey,1
Deep Chris,11
Deep Voice,1
Deer Animal Head,1
Demons,1
Deputy Durland,16
Deputy DurlandandSheriff Blubs,1
Digi-cod,1
Dinosaur,1
Dipper,2261
Dipper & Mabel,7
Dipper & Pacifica,2
Dipper & Soos,1
Dipper (in the memory),1
Dipper and Clone,1
Dipper and Ford,6
Dipper and Mabel,100
Dipper and Number 2,1
