character,episode,num_lines,
Dipper,1,91,Tourist Trapped
Dipper,2,82,The Legend of the Gobblewonker
Dipper,3,75,Headhunters
Dipper,4,49,The Hand That Rocks the Mabel
Dipper,5,78,The Inconveniencing
Dipper,6,82,Dipper vs. Manliness
Dipper,7,67,Double Dipper
Dipper,8,57,Irrational Treasure
Dipper,9,90,The Time Traveler's Pig
Dipper,10,86,Fight Fighters
Dipper,11,61,Little Dipper
Dipper,12,65,Summerween
Dipper,13,41,Boss Mabel
Dipper,14,75,Bottomless Pit!
Dipper,15,48,The Deep End
Dipper,16,94,Carpet Diem
Dipper,17,39,Boyz Crazy
Dipper,18,52,Land Before Swine
Dipper,19,51,Dreamscaperers
Dipper,20,51,Gideon Rises
Dipper,21,62,Scary-oke
Dipper,22,72,Into the Bunker
Dipper,23,35,The Golf War
Dipper,24,59,Sock Opera
Dipper,25,16,Soos and the Real Girl
Dipper,26,38,Little Gift Shop of Horrors
Dipper,27,50,Society of the Blind Eye
Dipper,28,52,Blendin's Game
Dipper,29,25,The Love God
Dipper,30,53,Northwest Mansion Mystery
Dipper,31,45,Not What He Seems
Dipper,32,16,A Tale of Two Stans
Dipper,33,52,"Dungeons, Dungeons, and More Dungeons"
Dipper,34,31,The Stanchurian Candidate
Dipper,35,32,The Last Mabelcorn
Dipper,36,49,Roadside Attraction
Dipper,37,72,Dipper and Mabel vs. the Future
Dipper,38,55,Weirdmageddon Part 1
Dipper,39,64,Weirdmageddon 2: Escape From Reality
Dipper,40,49,Weirdmageddon 3: Take Back The Falls
Ford,1,0,Tourist Trapped
Ford,2,0,The Legend of the Gobblewonker
Ford,3,0,Headhunters
Ford,4,0,The Hand That Rocks the Mabel
Ford,5,0,The Inconveniencing
Ford,6,0,Dipper vs. Manliness
Ford,7,0,Double Dipper
Ford,8,0,Irrational Treasure
Ford,9,0,The Time Traveler's Pig
Ford,10,0,Fight Fighters
Ford,11,0,Little Dipper
Ford,12,0,Summerween
Ford,13,0,Boss Mabel
Ford,14,0,Bottomless Pit!
Ford,15,0,The Deep End
